DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\email\quoprimime.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\bs4\element.py first seen with mtime 1734813908.0299811
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1734895446.3340824
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1734895446.3690872
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\price_tracker\price_tracker\urls.py first seen with mtime 1734900635.3650906
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\__init__.py first seen with mtime 1734813769.4702816
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1734895446.376087
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1734895446.3660872
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\threads.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py first seen with mtime 1734813769.4802086
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1734895446.3381565
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1734895446.3510876
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\subprocess.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\importlib\metadata\_text.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\settings.py first seen with mtime 1734821621.7374866
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\DLLs\select.pyd first seen with mtime 1702663621.1872587
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1734895445.8031576
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\propcache\__init__.py first seen with mtime 1734847362.8044395
